ATC4;description_fr;description_nl
B03XA;Autres préparations antianémiques;Overige middelen bij anemie
B05AA;Succédanés du sang et fractions plasmatiques protéiques;Bloedvervangingsmiddelen en plasma-eiwitfracties
B05BA;Solutions de nutrition parentérale;Oplossingen voor parenterale voeding
B05BB;Solutions modifiant la balance électrolytique;Oplossingen met invloed op de elektrolytenbalans
B05BC;Solutions de diurèse osmotique;Oplossingen met osmotisch-diuretische werking
B05CA;Anti-infectieux;Anti-microbiële middelen
B05CB;Solutions salines;Zoutoplossingen
B05CX;Autres solutions pour irrigation;Overige irrigatievloeistoffen
B05DA;Solutions isotoniques;Isotone oplossingen
B05DB;Solutions hypertoniques;Hypertone oplossingen
B05XA;Solutions d'électrolytes;Elektrolytoplossingen
B05XB;Acides aminés;Aminozuren
B05XC;Vitamines;Vitaminen
B05XX;Autres additifs pour solutions intraveineuses;Overige additieven voor intraveneuze infusievloeistoffen
B05ZA;Hémodialysats concentrés;Hemodialysemiddelen, concentraten
B05ZB;Hémofiltrats;Hemofiltraten
B06AA;Enzymes;Enzymen
B06AB;Autres préparations hématologiques;Overige hematologische middelen
C01AA;Hétérosides de la digitale;Digitalisglycosiden
C01AB;Hétérosides de la scille;Scillaglycosiden
C01AC;Hétérosides du strophantus;Strophantusglycosiden
C01AX;Autres hétérosides cardiotoniques;Overige hartglycosiden
C01BA;Antiarythmiques, classe Ia;Anti-aritmica (klasse Ia)
C01BB;Antiarythmiques, classe Ib;Anti-aritmica (klasse Ib)
C01BC;Antiarythmiques, classe Ic;Anti-aritmica (klasse Ic)
C01BD;Antiarythmiques de classe III;Anti-aritmica (klasse III)
C01BG;Autres antiarhytmiques de classe I;Overige anti-aritmica (klasse I)
C01CA;Adrénergiques et dopaminergiques;Adrenerge en dopaminerge middelen
C01CE;Inhibiteurs des phosphodiestérases;Fosfodiesteraseremmers
C01CX;Autres stimulants cardiaques;Overige hartstimulerende middelen
C01DA;Nitrates organiques;Organische nitraten
C01DB;Vasodilatateurs dérivés de la quinolone;Vasodilatantia van de quinolonegroep
C01DX;Autres vasodilatateurs pour maladies cardiaques;Overige vasodilatantia bij hartziekten
C01EA;Prostaglandines;Prostaglandines
C01EB;Autres médicaments cardiaques;Overige cardiaca
C01EX;Autres associations de produits cardiaques;Overige cardiaca, combinatiepreparaten
C02AA;Alcaloïdes du rauwolfia;Rauwolfia alkaloïden
C02AB;Méthyldopa;Methyldopa
C02AC;Antagonistes des récepteurs de l'imidazoline;Imidazoline receptor agonisten
C02BA;Dérivés du sulfonium;Sulfoniumderivaten
C02BB;Aminés secondaires et tertiaires;Secundaire en tertiaire aminen
C02BC;Dérivés ammonium biquaternaire;Bi-kwaternaire ammoniumverbindingen
C02CA;Alphabloquants;Alfa-receptorblokkerende middelen
C02CC;Dérivés de la guanidine;Guanidinederivaten
C02DA;Thiazides et dérivés;Thiazidederivaten
C02DB;Dérivés de l'hydralazine;Hydralazinederivaten
C02DC;Dérivés de la pyrimidine;Pyrimidinederivaten
C02DD;Dérivés du nitroferricyanure;Nitroferricyanidederivaten
C02DG;Dérivés de la guanidine;Guanidinederivaten
C02KA;Alcaloïdes, excepté du rauwolfia;Alkaloïden, rauwolfia uitgezonderd
C02KB;Inhibiteurs de la tyrosine hydroxylase;Tyrosinehydroxylaseremmers
C02KC;Imao;Mao-remmers
C02KD;Antagonistes de la sérotonine;Serotonine-antagonisten
C02KX;Autres antihypertenseurs;Overige antihypertensiva
C02LA;Alcaloïdes du rauwolfia et diurétiques;Rauwolfia-alkaloïden met diuretica
C02LB;Méthyldopa et diurétiques;Methyldopa met diuretica
C02LC;Antagonistes des récepteurs à l'imidazoline, assoc. avec diurétiques;Imidazoline-receptoragonisten met diuretica
C02LE;Alphabloquants et diurétiques;Alfa-receptorblokkerende middelen met diuretica
C02LF;Dérivés de la guanidine et diurétiques;Guanidinederivaten met diuretica
C02LG;Dérivés de l'hydralazine et diurétiques;Hydralazinederivaten met diuretica
C02LK;Alcaloïdes, excepte du rauwolfia, et diurétiques;Alkaloïden, rauwolfia uitgezonderd, met diuretica
C02LL;Imao et diurétiques;Mao-remmers met diuretica
C02LN;Antagonistes de la sérotonine et diurétiques;Serotonine-antagonisten met diuretica
C02LX;Autres antihypertenseurs et diurétiques;Andere anti-hypertensiva met diuretica
C03AA;Thiazides;Thiaziden
C03AB;Thiazides et potassium;Thiaziden met kalium
C03AH;Thiazides et psycholeptiques et/ou analgésiques;Thiaziden met psycholeptica en/of analgetica
C03AX;Thiazides, autres associations;Thiaziden met andere middelen
C03BA;Sulfamides;Sulfonamiden
C03BB;Sulfamides et potassium;Sulfonamiden met kalium
C03BC;Diurétiques mercuriels;Kwikdiuretica
C03BD;Dérivés xanthiques;Xanthinederivaten
C03BK;Sulfamides associés à d'autres médicaments;Sulfonamiden met andere middelen
C03BX;Autres diurétiques actifs sur le tube distal;Overige "low-ceiling" diuretica
C03CA;Sulfamides;Sulfonamiden
C03CB;Sulfamides et potassium;Sulfonamiden met kalium
C03CC;Dérivés de l'acide aryloxyacétique;Aryloxyazijnzuurderivaten
C03CD;Dérivés de la pyrazolone;Pyrazolonderivaten
C03CX;Autres diurétiques de l'anse;Overige "high-ceiling" diuretica
C03DA;Antagonistes de l'aldostérone;Aldosteronantagonisten
C03DB;Autres diurétiques d'épargne potassique;Overige kaliumsparende middelen
C03EA;Diurétique du tube distal et d'épargne potassique;Low-ceiling diuretica met kaliumsparende middelen
C03EB;Diurétiques de l'anse et d'épargne potassique;High-ceiling diuretica met kaliumsparende middelen
C04AA;Dérivés du 2-amino-1-phénylethanol;2-amino-1-fenylethanolderivaten
C04AB;Dérivés de l'imidazoline;Imidazolinederivaten
C04AC;Dérivés de l'acide nicotinique;Nicotinezuur en derivaten
C04AD;Dérivés des purines;Purinederivaten
C04AE;Alcaloïdes de l'ergot;Moederkoren-alkaloïden
C04AF;Enzymes;Enzymen
C04AX;Autres vasodilatateurs périphéques;Overige perifere vasodilatantia
C05AA;Préparations contenant des corticostéroïdes;Preparaten met corticosteroïden
C05AB;Préparations contenant des antibiotiques;Preparaten met antibiotica
C05AD;Préparations contenant des anesthésiques locaux;Preparaten met lokale anesthetica
C05AX;Autres préparations antihémorroïdales topiques;Overige lokale hemorroïden-preparaten
C05BA;Préparations topiques contenant de l'héparine ou des héparinoïdes;Lokale preparaten met heparine of heparinoïden
C05BB;Agents sclérosants pour injection locale;Scleroserende middelen voor locale inspuiting
C05BX;Autres agents sclérosants;Overige scleroserende middelen
C05CA;Bioflavonoïdes;Bioflavonoïden
C05CX;Autres agents stabilisants des capillaires;Overige capillairstabiliserende middelen
C07AA;Bêtabloquants non sélectifs;Beta-receptorblokkerende middelen, niet-selectieve
C07AB;Bêtabloquants sélectifs;Beta-receptorblokkerende middelen, selectieve
C07AG;Alpha- et bêtabloquants;Alfa- en beta-receptorblokkerende middelen
C07BA;Bêtabloquants non sélectifs et thiazides;Niet-selectieve beta-receptorblokkerende middelen met thiaziden
C07BB;Bêtabloquants sélectifs et thiazides;Selectieve beta-receptorblokkerende middelen met thiaziden
C07BG;Alpha- et bêtabloquants et thiazides;Alfa- en beta-receptorblokkerende middelen met thiaziden
C07CA;Bêtabloquants non sélectifs et autres diurétiques;Niet-selectieve beta-receptorblokkerende middelen met overige diuretica
C07CB;Bêtabloquants sélectifs et autres diurétiques;Selectieve beta-receptorblokkerende middelen met overige diuretica
C07CG;Alpha- et bêtabloquants et autres diurétiques;Alfa- en beta-receptorblokkerende middelen met overige diuretica
C07DA;Bêtabloquants non sélectifs et thiazides et autres diurétiques;Niet-select. beta-blokkerende middelen met thiaziden en overige diuretica
C07DB;Bêtabloquants sélectifs et thiazides et autres diurétiques;Selectieve beta-blokkerende midd. met thiaziden en overige diuretica
C07EA;Bêtabloquants non sélectifs et vasodilatateurs;Niet-selectieve beta-receptorblokkerende middelen met vasodilatantia
C07EB;Bêtabloquants sélectifs et vasodilatateurs;Selectieve beta-receptorblokkerende middelen met vasodilatantia
C07FA;Bêtabloquants non sélectifs et autres antihypertenseurs;Niet-selectieve beta-blokkerende midd. met overige antihypertensiva
C07FB;Bêtabloquants sélectifs et autres antihypertenseurs;Selectieve beta-blokkerende middelen met overige antihypertensiva
C08CA;Dérivés de la dihydropyridine;Dihydropyridinederivaten
C08CX;Autres antagonistes du calcium sélectifs à action princip. vasculaire;Overige selectieve calciumantagonisten met hoofdz. vasculaire werking
C08DA;Dérivés de la phénylalkylamine;Fenylalkylaminederivaten
C08DB;Dérivés de la benzothiazépine;Benzothiazepinederivaten
C08EA;Dérivés de la phénylalkylamine;Fenylalkylaminederivaten
C08EX;Autres antagonistes du calcium non sélectifs;Overige niet selectieve calciumantagonisten
C08GA;Antagonistes du calcium et diurétiques;Calciumantagonisten met diuretica
C09AA;Inhibiteurs de l'enzyme de conversion de l'angiotensine (ECA), simples;Inhibitoren van het angiotensine-conversie-enzym (ACE), enkelvoudig
