MDC;description_fr;description_nl
-p;Pré-MDC;Pre-MDC
01;Système nerveux;Zenuwstelsel
02;Affections des yeux;Oogaandoeningen
03;Nez, gorge, oreilles;Neus, keel, oren
04;Système respiratoire;Ademhalingsstelsel
05;Système circulatoire;Hart en vaatstelsel
06;Système digestif;Spijsverteringsstelsel
07;Foie, bile et pancréas;Lever, gal en pancreas
08;Système musculaire et tissu conjonctif;Bewegingsstelsel en bindweefsel
09;Peau, tissu sous-cutané, sein;Huid, subcutis, borstklier
10;Maladies endocriniennes, nutritives et du métabolisme;Endocriene, voedings- en stofwisselingsziekten
11;Reins et voies urinaires;Nieren en urinewegen
12;Organes génitaux masculins;Mannelijke geslachtsorganen
13;Organes génitaux féminins;Vrouwelijke geslachtsorganen
14;Grossesse et accouchement;Zwangerschap en bevalling
15;Nouveau-nés - Affections d'origine périnatale;Neonati
16;Sang et organes hématopoïétiques;Bloed en bloedvormende organen
17;Maladies myéloprolifératives, néoplasmes peu différenciés;Myeloproliferatieve en weinig gediff. neoplasmata
18;Maladies infectieuses et parasitaires;Infectie en parasitaire ziekten
19;Troubles mentaux;Psychische stoornissen
20;Alcoolisme et usage de drogue;Alcohol en druggebruik
21;Traumatismes, empoisonnements et effets toxiques des médicaments;Ongevallen, vergiftigingen en toxische effecten van geneesmiddelen
22;Brûlures;Brandwonden
23;Facteurs influençant la santé;Factoren die de gezondheid beïnvloeden
24;Infections HIV;HIV infecties
25;Traumatismes multiples;Multipele traumata
FF;Groupe résiduel;Rest groep
