rdrg;MP;rmdc;description_nl
001;P;-p;001 LEVER- EN/OF DARMTRANSPLANTATIE
002;P;-p;002 HART- EN/OF LONGTRANSPLANTATIE
003;P;-p;003 BEENMERGTRANSPLANTATIE
004;P;-p;004 ECMO OF TRACHEOSTOMIE MET LANGDURIGE MECHANISCHE VENTILATIE MET EXTENSIEVE PROCEDURE
005;P;-p;005 TRACHEOSTOMIE MET LANGDURIGE MECHANISCHE VENTILATIE ZONDER EXTENSIEVE PROCEDURE
006;P;-p;006 PANCREASTRANSPLANTATIE
020;P;01;020 CRANIOTOMIE VOOR TRAUMA
021;P;01;021 CRANIOTOMIE BEHALVE VOOR TRAUMA
022;P;01;022 PROCEDURES OP EEN VENTRICULAIRE SHUNT
023;P;01;023 SPINALE PROCEDURES
024;P;01;024 EXTRACRANIALE VASCULAIRE PROCEDURES
026;P;01;026 ANDERE PROCEDURES OP HET ZENUWSTELSEL EN GERELATEERDE PROCEDURES
040;M;01;040 SPINALE STOORNISSEN EN LETSELS
041;M;01;041 MALIGNITEIT VAN HET ZENUWSTELSEL
042;M;01;042 DEGENERATIEVE STOORNISSEN VAN HET ZENUWSTELSEL MET UITZONDERING VAN MULTIPELE SCLEROSE
043;M;01;043 MULTIPELE SCLEROSE EN ANDERE DEMYELINISERENDE ZIEKTEN
044;M;01;044 INTRACRANIELE HEMORRAGIE
045;M;01;045 CVA EN PRECEREBRALE OCCLUSIE MET INFARCT
046;M;01;046 NIET GESPECIFIEERDE CVA EN PRECEREBRALE OCCLUSIE ZONDER INFARCT
047;M;01;047 TRANSITOIRE (CEREBRALE) ISCHEMIE (TIA)
048;M;01;048 STOORNISSEN VAN DE PERIFERE, CRANIALE EN AUTONOME ZENUWEN
049;M;01;049 BACTERIELE EN TUBERCULEUZE INFECTIES VAN HET ZENUWSTELSEL
050;M;01;050 NIET BACTERIELE INFECTIES VAN HET ZENUWSTELSEL BEHALVE VIRALE MENINGITIS
051;M;01;051 VIRALE MENINGITIS
052;M;01;052 NIET-TRAUMATISCHE STUPOR EN COMA
053;M;01;053 EPILEPTISCH INSULT
054;M;01;054 MIGRAINE EN ANDERE HOOFDPIJN
055;M;01;055 HOOFDTRAUMA MET COMA > 1 UUR OF MET HEMMORRHAGIE
056;M;01;056 CEREBRALE CONTUSIE/LACERATIE EN GECOMPLICEERDE SCHEDELBREUK, MET COMA < 1 UUR OF ZONDER COMA
057;M;01;057 HERSENSCHUD., GESL. SCHEDELBREUK N.A.G., NIET GECOMPL. INTRACRAN. LETSEL, COMA < 1U OF GEEN COMA
058;M;01;058 ANDERE STOORNISSEN VAN HET ZENUWSTELSEL
070;P;02;070 PROCEDURES OP DE ORBITA
073;P;02;073 PROCEDURES OP HET OOG BEHALVE OP DE ORBITA
080;M;02;080 ACUTE MAJEURE OOGINFECTIES
082;M;02;082 OOGSTOORNISSEN BEHALVE MAJEURE INFECTIES
089;P;03;089 AJEURE PROCEDURES OP AANGEZICHTS- EN SCHEDELBEENDEREN
090;P;03;090 MAJEURE PROCEDURES OP LARYNX EN TRACHEA
091;P;03;091 ANDERE MAJEURE PROCEDURES OP HOOFD EN HALS
092;P;03;092 PROCEDURES OP AANGEZICHTSBEENDEREN, BEHALVE MAJ. PROC. OP AANGEZICHTS-EN SCHEDELBEENDEREN
093;P;03;093 PROCEDURES OP SINUSSEN EN MASTOID
095;P;03;095 PALATOPLASTIE EN HERSTEL VAN HAZELIP
097;P;03;097 PROCEDURES OP TONSILLEN EN ADENOIDEN
098;P;03;098 ANDERE PROCEDURES OP OREN, NEUS, MOND EN KEEL
110;M;03;110 MALIGNE AANDOENINGEN VAN OREN, NEUS, MOND, KEEL, SCHEDEL/AANGEZICHT
