ATC4;description_fr;description_nl
A07AC;Dérivés de l'imidazole;Imidazolederivaten                                                              
A07AX;Autres anti-infectieux intestinaux;Overige anti-microbiële darmmiddelen                                            
A07BC;Autres absorbants intestinaux;Overige adsorberende darmmiddelen                                               
A07DA;Inhibiteur de la motricité digestive;Antipropulsiva                                                                  
A07EA;Corticostéroïde à action locale;Corticosteroïden met locale werking
A07EC;Mesalazine et similaires;Mesalazine en verwante verbindingen                                             
A09AA;Préparations enzymatiques;Enzympreparaten                                                                 
A10AB;Insulines et analogues à action rapide;Snelwerkende insulines en analogen                                              
A10AC;Insulines et analogues à action intermédiaire;Middellangwerkende insulines en analogen                                        
A10AD;Insulines et anal. à action intermédiaire avec début d'action rapide;Middellangwerkende insulines en analogen met snel begineffect                   
A10AE;Insulines et analogues à action longue;Langwerkende insulines en analogen                                              
A10BA;Biguanides;Biguaniden                                                                      
A10BB;Dérivés de la sulfonylurée;Sulfonylureumderivaten                                                          
A10BD;Associations d'hypoglycémiants oraux;Combinaties van orale hypoglykemierende middelen
A10BG;Thiazolidinédiones;Thiazolidinedionen                                                              
A10BX;Autres hypoglycémiants oraux;Overige orale hypoglykemiërende middelen                                        
A11CC;Vitamine D et dérivés;Vitamine D en analoge verbindingen                                              
A11HA;Autres vitamines monocomposées;Overige enkelvoudige vitaminepreparaten                                         
A12CD;Fluor;Fluor                                                                           
A14AB;Dérivés de l'estrene;Estreenderivaten                                                                
A16AA;Acides amines et dérivés;Aminozuren en derivaten                                                         
A16AB;Enzymes;Enzymen                                                                         
A16AX;Divers produits pour le système gastro-intestinal et le métabolisme;Diverse middelen van het maagdarmkanaal en metabolisme
B01AA;Antagonistes de la vitamine K;Vitamine K-antagonisten                                                         
B01AB;Héparine;Heparinegroep                                                                   
B01AC;Inhibiteurs de l'agrégation plaquettaire, sauf l'héparine;Trombocytenaggregatieremmers, heparine uitgezonderd                             
B01AD;Enzymes;Enzymen                                                                         
B01AE;Inhibiteurs directs de la thrombine;Directe trombineremmers
B01AX;Autres antithrombotiques;Overige anti-thrombotica                                                        
B02AA;Acides aminés;Aminozuren                                                                      
B02AB;Inhibiteurs de la protéinase;Proteinaseremmers                                                               
B02BA;Vitamine K;Vitamine K                                                                      
B02BB;Fibrinogène;Fibrinogeen                                                                     
B02BC;Hémostatiques locaux;Lokale hemostatica
B02BD;Facteurs de coagulation;Bloedstollingsfactoren                                                          
B03AA;Préparations orales de fer II;Orale ferropreparaten II                                                        
B03AC;Préparations parentérales de fer III;Ferripreparaten, parenteraal III                                                
B03BA;Vitamine B12 (cyanocobalamine et dérivés);Vitamine B12 (cyanocobalamine en derivaten)                                     
B03XA;Autres préparations antianémiques;Overige middelen bij anemie                                                     
B05AA;Succédanés du sang et fractions plasmatiques protéiques;Bloedvervangingsmiddelen en plasma-eiwitfracties                                
B05BA;Solutions de nutrition parentérale;Oplossingen voor parenterale voeding                                            
B05BB;Solutions modifiant la balance électrolytique;Oplossingen met invloed op de elektrolytenbalans                                
B05BC;Solutions de diurèse osmotique;Oplossingen met osmotisch-diuretische werking                                   
B05CA;Anti-infectieux;Anti-microbiële middelen                                                        
B05CB;Solutions salines;Zoutoplossingen                                                                 
B05CX;Autres solutions pour irrigation;Overige irrigatievloeistoffen                                                   
B05XA;Solutions d'électrolytes;Elektrolytoplossingen                                                           
B05XB;Acides aminés;Aminozuren                                                                      
B05ZA;Hémodialysats concentrés;Hemodialysemiddelen, concentraten                                               
B06AB;Autres préparations hématologiques;Overige hematologische middelen                                                 
C01AA;Hétérosides de la digitale;Digitalisglycosiden                                                             
C01BA;Antiarythmiques, classe Ia;Anti-aritmica (klasse Ia)                                                       
C01BB;Antiarythmiques, classe Ib;Anti-aritmica (klasse Ib)                                                       
C01BC;Antiarythmiques, classe Ic;Anti-aritmica (klasse Ic)                                                       
C01BD;Antiarythmiques de classe III;Anti-aritmica (klasse III)                                                      
C01BG;Autres antiarhytmiques de classe I;Overige anti-aritmica (klasse I)                                                
C01CA;Adrénergiques et dopaminergiques;Adrenerge en dopaminerge middelen                                               
C01CE;Inhibiteurs des phosphodiestérases;Fosfodiesteraseremmers                                                          
C01DA;Nitrates organiques;Organische nitraten                                                             
C01DX;Autres vasodilatateurs pour maladies cardiaques;Overige vasodilatantia bij hartziekten                                          
C01EA;Prostaglandines;Prostaglandines                                                                 
C01EB;Autres médicaments cardiaques;Overige cardiaca                                                                
C02AB;Méthyldopa;Methyldopa                                                                      
C02AC;Antagonistes des récepteurs de l'imidazoline;Imidazoline receptor agonisten                                                  
C02CA;Alphabloquants;Alfa-receptorblokkerende middelen                                               
C02DA;Thiazides et dérivés;Thiazidederivaten                                                               
C02DB;Dérivés de l'hydralazine;Hydralazinederivaten                                                            
C02DC;Dérivés de la pyrimidine;Pyrimidinederivaten                                                             
C02DD;Dérivés du nitroferricyanure;Nitroferricyanidederivaten                                                      
C02KD;Antagonistes de la sérotonine;Serotonine-antagonisten                                                         
C02KX;Autres antihypertenseurs;Overige antihypertensiva
C03AA;Thiazides;Thiaziden                                                                       
C03BA;Sulfamides;Sulfonamiden                                                                    
C03CA;Sulfamides;Sulfonamiden                                                                    
C03DA;Antagonistes de l'aldostérone;Aldosteronantagonisten                                                          
