rdrg;MP;rmdc;description_fr
001;P;-p;001 TRANSPLANTATION HEPATIQUE ET/OU INTESTINALE
002;P;-p;002 TRANSPLANTATION CARDIAQUE ET/OU PULMONAIRE
003;P;-p;003 TRANSPLANTATION DE MOELLE OSSEUSE
004;P;-p;004 ECMO OU TRACHEOSTOMIE AVEC VENTILATION MECANIQUE DE LONGUE DUREE ET PROCEDURE EXTENSIVE
005;P;-p;005 TRACHEOSTOMIE AVEC VENTILATION MECANIQUE DE LONGUE DUREE SANS INTERVENTION EXTENSIVE
006;P;-p;006 TRANSPLANTATION DU PANCREAS
020;P;01;020 CRANIOTOMIE POUR TRAUMATISME
021;P;01;021 CRANIOTOMIE EXCEPTE POUR TRAUMATISME
022;P;01;022 PROCEDURES CONCERNANT UN SHUNT VENTRICULAIRE
023;P;01;023 PROCEDURES AU NIVEAU DE LA COLONNE VERTEBRALE ET LA MOELLE EPINIERE
024;P;01;024 PROCEDURES VASCULAIRES EXTRACRANIENNES
026;P;01;026 AUTRES PROCEDURES DU SYSTEME NERVEUX ET APPARENTE
040;M;01;040 TROUBLES ET LESIONS DE LA COLONNE VERTEBRALE ET DE LA MOELLE EPINIERE
041;M;01;041 MALIGNITE DU SYSTEME NERVEUX
042;M;01;042 TROUBLES DEGENERATIFS DU SYSTEME NERVEUX EXCEPTE LA SCLEROSE EN PLAQUES
043;M;01;043 SCLEROSE EN PLAQUES ET AUTRES MALADIES DEMYELINISANTES
044;M;01;044 HEMORRAGIE INTRACRANIENNE
045;M;01;045 ACCIDENT VASCULAIRE CEREBRAL ET OCCLUSION PRECEREBRALE AVEC INFARCTUS
046;M;01;046 ACCIDENT VASCULAIRE CEREBRAL NON SPECIFIQUE ET OCCLUSION PRECEREBRALE SANS INFARCTUS
047;M;01;047 ISCHEMIE CEREBRALE TRANSITOIRE (TIA)
048;M;01;048 TROUBLES DES NERFS CRANIENS, PERIPHERIQUES ET AUTONOMES
049;M;01;049 INFECTIONS BACTERIENNE ET TUBERCULEUSE DU SYSTEME NERVEUX
050;M;01;050 INFECTIONS NON-BACTERIENNES DU SYSTEME NERVEUX, EXCEPTE LA MENINGITE VIRALE
051;M;01;051 MENINGITE VIRALE
052;M;01;052 COMAS ET ETATS STUPOREUX NON TRAUMATIQUES
053;M;01;053 CRISE EPILEPTIQUE
054;M;01;054 MIGRAINE ET AUTRES CEPHALEES
055;M;01;055 TRAUMATISME CRANIEN AVEC COMA > 1 HEURE, OU HEMORRAGIE
056;M;01;056 CONTUSION/LACERATION CEREBRALE ET FRACTURE DU CRANE COMPLIQUEE, COMA < 1HEURE OU SANS COMA
057;M;01;057 CONTUSION, FRACTURE DU CRÂNE FERMÉ NON SPÉCIFIÉE AUTREMENT, LÉSION INTRACRÂNIENNE NON COMPLIQUÉE, COMA < 1HR OU SANS COMA
058;M;01;058 AUTRES TROUBLES DU SYSTEME NERVEUX
070;P;02;070 PROCEDURES DE L'ORBITE
073;P;02;073 PROCEDURES SUR L'OEIL EXCEPTE SUR L'ORBITE
080;M;02;080 INFECTIONS AIGUES MAJEURES DE L'OEIL
082;M;02;082 TROUBLES OCULAIRES EXCEPTE INFECTIONS MAJEURES
089;P;03;089 PROCEDURES MAJEURES SUR LES OS DE LA FACE ET DU CRANE
090;P;03;090 PROCEDURES MAJEURES DU LARYNX ET DE LA TRACHEE
091;P;03;091 AUTRES PROCEDURES MAJEURES DE LA TETE ET DU COU
092;P;03;092 PROCEDURES SUR LES OS DE LA FACE, EXCEPTE PROCEDURES MAJEURES DES OS DU CRANE/DE LA FACE
093;P;03;093 PROCEDURES SUR SINUS ET MASTOIDE
095;P;03;095 REPARATION DE FENTE LABIALE ET PALATINE
097;P;03;097 PROCEDURES SUR AMYGDALES ET VEGETATIONS
098;P;03;098 AUTRES PROCEDURES SUR OREILLE, NEZ, BOUCHE ET GORGE
110;M;03;110 AFFECTIONS MALIGNES D'OREILLE, NEZ, BOUCHE, GORGE, CRANE/FACE
111;M;03;111 VERTIGE ET AUTRES TROUBLES LABYRINTHIQUES
113;M;03;113 INFECTIONS DES VOIES AÉRIENNES SUPÉRIEURES
114;M;03;114 MALADIES ET LESIONS DENTAIRES ET BUCCALES
115;M;03;115 AUTRES DIAGNOSTICS D'OREILLE, NEZ, BOUCHE, GORGE,CRANE/FACE
120;P;04;120 INTERVENTIONS MAJEURES SUR SYSTEME RESPIRATOIRE ET LE THORAX
121;P;04;121 AUTRES INTERVENTIONS SUR SYSTEME RESPIRATOIRE ET LE THORAX
130;M;04;130 AFFECTIONS DU SYSTEME RESPIRATOIRE AVEC ASSISTANCE VENTILATOIRE PENDANT + DE 96 HEURES
131;M;04;131 MUCOVISCIDOSE (CYSTIC FIBROSIS) - MALADIE PULMONAIRE
132;M;04;132 DYSPLASIE BRONCHO-PULMONAIRE ET AUTRES MALADIES RESPIRATOIRES CHRONIQUES APPARAISSANT EN PERIODE PERINATALE
133;M;04;133 INSUFFISANCE RESPIRATOIRE
134;M;04;134 EMBOLIE PULMONAIRE
135;M;04;135 TRAUMATISME MAJEUR DU THORAX ET RESPIRATOIRE
136;M;04;136 AFFECTIONS MALIGNES RESPIRATOIRES
137;M;04;137 INFLAMMATIONS ET INFECTIONS MAJEURES DU SYSTEME RESPIRATOIRE
138;M;04;138 BRONCHIOLITE ET PNEUMONIE A VIRUS RESPIRATOIRE SYNCYTIAL (RSV)
139;M;04;139 AUTRE PNEUMONIE
140;M;04;140 MALADIE PULMONAIRE OBSTRUCTIVE CHRONIQUE
141;M;04;141 ASTHME
142;M;04;142 MALADIE PULMONAIRE INTERSTITIELLE ET ALVEOLAIRE
143;M;04;143 AUTRES DIAGNOSTICS RESPIRATOIRES EXCEPTE LES SIGNES, SYMPTOMES ET DIAGNOSTICS MINEURS
144;M;04;144 SIGNES RESPIRATOIRES, SYMPTOMES ET DIAGNOSTICS MINEURS
160;P;05;160 REPARATION MAJEURE D'ANOMALIE CARDIAQUE PAR VOIE CARDIOTHORACIQUE
161;P;05;161 IMPLANTATION D'UN DEFIBRILLATEUR CARDIAQUE ET SYSTEME D'ASSISTANCE CARDIAQUE
162;P;05;162 PROCÉDURES SUR LES VALVES CARDIAQUES AVEC INFARCTUS DU MYOCARDE AIGU OU DP COMPLEXE
163;P;05;163 PROCÉDURES SUR LES VALVES CARDIAQUES SANS INFARCTUS DU MYOCARDE AIGU OU DP COMPLEXE
165;P;05;165 PONTAGE CORONARIEN AVEC INFARCTUS AIGU DU MYOCARDE OU DP COMPLEXE
166;P;05;166 PONTAGE CORONARIEN SANS INFARCTUS AIGU DU MYOCARDE OU DP COMPLEXE
167;P;05;167 AUTRES PROCÉDURES CARDIOTHORACIQUES & THORACOVASCULAIRES
169;P;05;169 PROCÉDURES VASCULAIRES ABDOMINALES MAJEURES
170;P;05;170 IMPLANTATION DE PACEMAKER PERMANENT AVEC INFARCTUS AIGU DU MYOCARDE, DECOMPRESSION CARDIAQUE OU CHOC
171;P;05;171 IMPLANTATION DE PACEMAKER PERMANENT SANS INFARCTUS AIGU DU MYOCARDE, DECOMPRESSION CARDIAQUE OU CHOC
174;P;05;174 PROCEDURES CORONARIENNES PERCUTANEES AVEC INFARCTUS AIGU DU MYOCARDE
175;P;05;175 PROCEDURES CORONARIENNES PERCUTANEES SANS INFARCTUS AIGU DU MYOCARDE
176;P;05;176 REMPLACEMENT DE PACEMAKER ET DU DEFIBRILLATEUR CARDIAQUE
177;P;05;177 REVISION DE PACEMAKER ET DE DEFIBRILLATEUR CARDIAQUE EXCEPTE REMPLACEMENT D'APPAREIL
180;P;05;180 AUTRES PROCEDURES SUR LE SYSTEME CIRCULATOIRE
181;P;05;181 AUTRES PROCÉDURES SUR LES ARTÈRES DES MEMBRES INFÉRIEURS
182;P;05;182 AUTRES PROCÉDURES SUR LES VAISSEAUX PÉRIPHÉRIQUES
190;M;05;190 INFARCTUS AIGU DU MYOCARDE
191;M;05;191 CATHÉTÉRISME CARDIAQUE POUR MALADIE CORONARIENNE
192;M;05;192 CATHÉTÉRISME CARDIAQUE POUR AUTRE MALADIE NON CORONARIENNE
193;M;05;193 ENDOCARDITE AIGUE ET SUBAIGUE
194;M;05;194 INSUFFISANCE CARDIAQUE
196;M;05;196 ARRÊT CARDIAQUE ET CHOC
197;M;05;197 TROUBLES VASCULAIRES PERIPHERIQUES ET AUTRES
198;M;05;198 ANGINE DE POITRINE ET ATHEROSCLEROSE CORONAIRE
199;M;05;199 HYPERTENSION
200;M;05;200 MALADIES CARDIAQUES STRUCTURELLES ET VALVULAIRES
201;M;05;201 ARYTHMIE CARDIAQUE ET TROUBLES DE CONDUCTION
203;M;05;203 DOULEUR THORACIQUE
204;M;05;204 SYNCOPE ET COLLAPSUS
205;M;05;205 CARDIOMYOPATHIE
206;M;05;206 DYSFONCTIONNEMENT, REACTION ET COMPLICATIONS DE MATERIEL OU DE PROCEDURE CARDIAQUE OU VASCULAIRE
207;M;05;207 AUTRES DIAGNOSTICS DU SYSTEME CIRCULATOIRE
220;P;06;220 PROCEDURES MAJEURES SUR OESOPHAGE, ESTOMAC ET DUODENUM
221;P;06;221 PROCEDURES MAJEURES SUR L'INTESTIN GRELE ET LE GROS INTESTIN
222;P;06;222 AUTRES PROCEDURES SUR OESOPHAGE, ESTOMAC ET DUODENUM
223;P;06;223 AUTRES PROCEDURES SUR INTESTIN GRELE ET GROS INTESTIN
224;P;06;224 LYSE D'ADHERENCES PERITONEALES
225;P;06;225 APPENDICECTOMIE
226;P;06;226 PROCEDURES SUR L'ANUS
227;P;06;227 PROCEDURES POUR HERNIE EXCEPTE INGUINALE, FEMORALE ET OMBILICALE
228;P;06;228 PROCEDURES POUR HERNIE INGUINALE, FEMORALE ET OMBILICALE
229;P;06;229 AUTRES PROCEDURES SUR LE SYSTEME DIGESTIF ET AU NIVEAU ABDOMINAL
240;M;06;240 AFFECTIONS MALIGNES DU TUBE DIGESTIF
241;M;06;241 ULCERE PEPTIQUE ET GASTRITE
242;M;06;242 TROUBLES MAJEURS DE L'OESOPHAGE
243;M;06;243 AUTRES TROUBLES DE L'OESOPHAGE
